EVENTTYPE;REGISTERDATE;STOPID;ODOMETER;LATITUDE;LONGITUDE;TASKID;LINEID;TRIPID;DATAGRAMID;DATAGRAMDATE;BUSID
0;2-nov-18;501950;572;33983333;-765465467;383;421;787;5796080498;01-NOV-18 03.08.01.000000 PM;1
0;2-nov-18;501950;756;33965733;-765464600;383;421;787;5796081107;01-NOV-18 03.08.21.000000 PM;1
0;2-nov-18;502050;3;33944967;-765461233;383;421;787;5796081647;01-NOV-18 03.08.38.000000 PM;1
0;2-nov-18;501950;1037;33942383;-765460167;383;421;787;5796082020;01-NOV-18 03.08.50.000000 PM;1
0;2-nov-18;501950;1041;33941367;-765460183;383;421;787;5796082935;01-NOV-18 03.09.19.000000 PM;1
0;2-nov-18;502050;32;33940033;-765460083;383;421;787;5796083011;01-NOV-18 03.09.22.000000 PM;1
0;2-nov-18;502050;345;33908667;-765455433;383;421;787;5796083871;01-NOV-18 03.09.52.000000 PM;1
0;2-nov-18;502050;746;33874550;-765450133;383;421;787;5796084753;01-NOV-18 03.10.21.000000 PM;1
0;2-nov-18;502050;877;33862683;-765448200;383;421;787;5796085636;01-NOV-18 03.10.50.000000 PM;1
0;2-nov-18;502050;877;33862833;-765448317;383;421;787;5796086553;01-NOV-18 03.11.19.000000 PM;1
0;2-nov-18;502050;877;33862833;-765448333;383;421;787;5796087355;01-NOV-18 03.11.48.000000 PM;1
0;2-nov-18;502050;889;33861783;-765448233;383;421;787;5796088259;01-NOV-18 03.12.17.000000 PM;1
0;2-nov-18;502050;1144;33837733;-765444633;383;421;787;5796089123;01-NOV-18 03.12.46.000000 PM;1
0;2-nov-18;502050;1325;33821933;-765441550;383;421;787;5796090044;01-NOV-18 03.13.16.000000 PM;1
0;2-nov-18;502050;1650;33790483;-765433950;383;421;787;5796090794;01-NOV-18 03.13.41.000000 PM;1
0;2-nov-18;502150;5;33772650;-765429400;383;421;787;5796091215;01-NOV-18 03.13.55.000000 PM;1
0;2-nov-18;502050;1953;33770350;-765427800;383;421;787;5796091684;01-NOV-18 03.14.10.000000 PM;1
0;2-nov-18;502050;1984;33767317;-765427317;383;421;787;5796092637;01-NOV-18 03.14.40.000000 PM;1
0;2-nov-18;502150;307;33739167;-765418783;383;421;787;5796093511;01-NOV-18 03.15.09.000000 PM;1
0;2-nov-18;502200;4;33727383;-765403600;383;421;787;5796093971;01-NOV-18 03.15.24.000000 PM;1
0;2-nov-18;502200;-1;33725917;-765400667;383;421;787;5796094092;01-NOV-18 03.15.28.000000 PM;1
0;2-nov-18;502200;-1;33725233;-765399900;383;421;787;5796094956;01-NOV-18 03.15.57.000000 PM;1
0;2-nov-18;502200;4;33723683;-765397933;383;421;787;5796095230;01-NOV-18 03.16.06.000000 PM;1
0;2-nov-18;502200;292;33711250;-765376650;383;421;787;5796096084;01-NOV-18 03.16.35.000000 PM;1
0;2-nov-18;502200;336;33708967;-765373050;383;421;787;5796096938;01-NOV-18 03.17.05.000000 PM;1
0;2-nov-18;502200;336;33708950;-765373017;383;421;787;5796097828;01-NOV-18 03.17.34.000000 PM;1
0;2-nov-18;502200;364;33706317;-765370450;383;421;787;5796098680;01-NOV-18 03.18.03.000000 PM;1
0;2-nov-18;502200;636;33698050;-765347100;383;421;787;5796099559;01-NOV-18 03.18.32.000000 PM;1
0;2-nov-18;502200;1014;33683450;-765318383;383;421;787;5796100435;01-NOV-18 03.19.02.000000 PM;1
0;2-nov-18;502200;1018;33682950;-765317433;383;421;787;5796100668;01-NOV-18 03.19.10.000000 PM;1
0;2-nov-18;502200;1018;33682983;-765317817;383;421;787;5796100826;01-NOV-18 03.19.15.000000 PM;1
17;2-nov-18;502200;1018;33682967;-765317850;383;421;787;5796101007;01-NOV-18 03.19.21.000000 PM;1
0;2-nov-18;502200;1018;33682917;-765317833;383;421;787;5796101346;01-NOV-18 03.19.32.000000 PM;1
0;2-nov-18;502200;1053;33681733;-765314883;383;421;787;5796102285;01-NOV-18 03.20.02.000000 PM;1
0;2-nov-18;502200;1065;33681067;-765313683;383;421;787;5796103160;01-NOV-18 03.20.31.000000 PM;1
0;2-nov-18;502200;1095;33680267;-765312117;383;421;787;5796104049;01-NOV-18 03.21.00.000000 PM;1
0;2-nov-18;502200;1095;33680200;-765311367;383;421;787;5796104911;01-NOV-18 03.21.30.000000 PM;1
0;2-nov-18;501552;98;34559333;-765305983;383;421;302;5795681726;01-NOV-18 04.04.51.000000 PM;1
0;2-nov-18;501552;265;34571317;-765300317;383;421;302;5795682797;01-NOV-18 04.05.21.000000 PM;1
0;2-nov-18;502401;1415;34745817;-765195000;383;421;302;5795711165;01-NOV-18 04.18.03.000000 PM;1
0;2-nov-18;502401;1421;34746100;-765194617;383;421;302;5795711667;01-NOV-18 04.18.17.000000 PM;1
0;2-nov-18;502451;32;34746350;-765194450;383;421;302;5795711695;01-NOV-18 04.18.18.000000 PM;1
0;2-nov-18;502451;297;34767500;-765181800;383;421;302;5795712745;01-NOV-18 04.18.45.000000 PM;1
0;2-nov-18;502451;451;34779867;-765173800;383;421;302;5795713879;01-NOV-18 04.19.15.000000 PM;1
0;2-nov-18;502501;5;34785333;-765170467;383;421;302;5795714602;01-NOV-18 04.19.34.000000 PM;1
0;2-nov-18;502451;552;34787817;-765168950;383;421;302;5795714970;01-NOV-18 04.19.44.000000 PM;1
0;2-nov-18;502501;-1;34787783;-765169000;383;421;302;5795715518;01-NOV-18 04.19.58.000000 PM;1
0;2-nov-18;502451;565;34789217;-765168117;383;421;302;5795716176;01-NOV-18 04.20.14.000000 PM;1
0;2-nov-18;502501;33;34789600;-765167883;383;421;302;5795716217;01-NOV-18 04.20.15.000000 PM;1
0;2-nov-18;502501;428;34821633;-765148350;383;421;302;5795717440;01-NOV-18 04.20.46.000000 PM;1
